server_id,stream_id,category_id,category_name,channel_name,action,source,epg_id,epg_feed,reason,feed_key,effective_feed_key,effective_epg_id,has_programmes
server_3,1389556,1640,BEIN SPORTS MAX NM,BEIN MAX 1 EN ˢᴰ,KEEP_PANEL,panel,beINSportsMax1.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax1.qa,True
server_3,1389562,1640,BEIN SPORTS MAX NM,BEIN MAX 1 EN ᴴᴰ,KEEP_PANEL,panel,beINSportsMax1.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax1.qa,True
server_3,1389568,1640,BEIN SPORTS MAX NM,BEIN MAX 1 EN ᶠʰᵈ,KEEP_PANEL,panel,beINSportsMax1.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax1.qa,True
server_3,1389574,1640,BEIN SPORTS MAX NM,BEIN MAX 1 EN ⁴ᴷ,KEEP_PANEL,panel,beINSportsMax1.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax1.qa,True
server_3,1389555,1640,BEIN SPORTS MAX NM,BEIN MAX 2 EN ˢᴰ,KEEP_PANEL,panel,beINSportsMax2.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax2.qa,True
server_3,1389561,1640,BEIN SPORTS MAX NM,BEIN MAX 2 EN ᴴᴰ,KEEP_PANEL,panel,beINSportsMax2.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax2.qa,True
server_3,1389567,1640,BEIN SPORTS MAX NM,BEIN MAX 2 EN ᶠʰᵈ,KEEP_PANEL,panel,beINSportsMax2.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax2.qa,True
server_3,1389573,1640,BEIN SPORTS MAX NM,BEIN MAX 2 EN ⁴ᴷ,KEEP_PANEL,panel,beINSportsMax2.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax2.qa,True
server_3,1389554,1640,BEIN SPORTS MAX NM,BEIN MAX 1 FR ˢᴰ,KEEP_PANEL,panel,beINSportsMax1.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax1.qa,True
server_3,1389560,1640,BEIN SPORTS MAX NM,BEIN MAX 1 FR ᴴᴰ,KEEP_PANEL,panel,beINSportsMax1.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax1.qa,True
server_3,1389566,1640,BEIN SPORTS MAX NM,BEIN MAX 1 FR ᶠʰᵈ,KEEP_PANEL,panel,beINSportsMax1.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax1.qa,True
