asset_id,subject_type,subject_name,person_role,local_file,asset_kind,creator,license_id,license_url,output_sha256,review_status,rights_notes
person-fallback-anuradha-paudwal,person,Anuradha Paudwal,singer,generated/people/person-fallback-anuradha-paudwal.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,bae746cc4014ec065aa7140bb7e77eddc8f20100b05fe45f94bc8e866c6d05d1,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-arif-lohar,person,Arif Lohar,singer,generated/people/person-fallback-arif-lohar.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,c51575deea4ce84f67caf1370d261b133aa37da42edd67eb9bac25e555744494,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-arijit-singh,person,Arijit Singh,singer,generated/people/person-fallback-arijit-singh.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,e9e1a892d3c889c09389d3466c8eccd2a4a9f58e62d79e5c9f2f5f0235ddb6b3,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-asha-bhosle,person,Asha Bhosle,singer,generated/people/person-fallback-asha-bhosle.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,2e50e8f29465a78efa4efcc47c9a0c9f7ed0536d7a1c51178647602bc551eae0,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-atif-aslam,person,Atif Aslam,singer,generated/people/person-fallback-atif-aslam.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,366e524d22e290fb6044601c05e3067cf0956a7c07ee10f7811dbd91b1e8ad6d,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-ayushmann-khurrana,person,Ayushmann Khurrana,actor,generated/people/person-fallback-ayushmann-khurrana.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,0d5cf666ce99235aaa51dc44b73e00cab78a2c245b79c868be8163af62178cf4,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-b-praak,person,B Praak,singer,generated/people/person-fallback-b-praak.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,481d7b44c3619b5e8701a50f8122375c040dbbb006ac37b57b7ea1d8790007bd,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-baba-sehgal,person,Baba Sehgal,singer,generated/people/person-fallback-baba-sehgal.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,951665171b3090971135231a2d5890aab1db593ee77c3ecda8956c2955619949,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-babbal-rai,person,Babbal Rai,singer,generated/people/person-fallback-babbal-rai.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,172d08fe1bfe7423707c9d1d2a4a6336548b5c02912f6bc1cbd1eba7485f7956,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-babbu-maan,person,Babbu Maan,singer,generated/people/person-fallback-babbu-maan.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,8a006f077bf3ba6401d3f59990f887dc909b2345e4d2882ab4da5a76a475f6a3,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-baljit-malwa,person,Baljit Malwa,singer,generated/people/person-fallback-baljit-malwa.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,a4c8b343a6b82b99e66da8e2e2c34f8826b750c6c58ba1ccda27764e23204bba,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-balkar-sidhu,person,Balkar Sidhu,singer,generated/people/person-fallback-balkar-sidhu.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,e5d4f4905c1646509f2e3c35ea340c4196f950fdc4c0470b832c908b61c716d7,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-bharat-bhushan,person,Bharat Bhushan,actor,generated/people/person-fallback-bharat-bhushan.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,360785b2e5a25aae2ee065ac7e3de4d0da22207e16a8aef32b865ea4206ff097,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-bikram-singh,person,Bikram Singh,singer,generated/people/person-fallback-bikram-singh.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,e8339fc675d90a46fbecb17e61b560f67e71e0d8c5a18439de4fcaadabf49c7f,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-bilal-saeed,person,Bilal Saeed,singer,generated/people/person-fallback-bilal-saeed.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,23a32ddda3a43abb195ab7580a42f1b88baa8d430716c9ed78f083f04bce4b90,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-bobby-deol,person,Bobby Deol,actor,generated/people/person-fallback-bobby-deol.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,24651f12e8d8e964171edbe564b91d6ae03f4a022af5b1cebddbf616a344e5e9,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-bohemia,person,Bohemia,singer,generated/people/person-fallback-bohemia.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,26f0623ef4995d1c4282c22d67b2ad87568cad7ceec21bec55c78afe14460962,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-boman-irani,person,Boman Irani,actor,generated/people/person-fallback-boman-irani.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,cd80ffba3c07ffcd8011e9814982f9ad85dc33ae0677329e5795976eadac6e40,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
